pop_ani,syn2b_synteny,same_patient,mu_i,mu_j
0.448983,0.996196,True,0.000019,0.000019
0.438172,0.979771,True,0.000019,0.000014
0.448988,1.000000,True,0.000019,0.000016
0.448984,1.000000,True,0.000019,0.000018
0.448987,1.000000,True,0.000019,0.000015
0.446800,0.992422,True,0.000019,0.000010
0.440994,0.973797,True,0.000019,0.000011
0.448985,0.993351,True,0.000019,0.000020
0.448982,1.000000,True,0.000019,0.000019
0.448834,0.964675,True,0.000019,0.000010
0.448696,0.977302,True,0.000019,0.000019
0.448985,1.000000,True,0.000019,0.000016
0.448913,0.983042,False,0.000019,0.000024
0.448981,0.992412,False,0.000019,0.000041
0.444874,0.987628,False,0.000019,0.000032
0.447964,0.996196,False,0.000019,0.000029
0.449047,0.987646,False,0.000019,0.000032
0.448789,0.990354,False,0.000019,0.000014
0.448819,0.981183,False,0.000019,0.000014
0.332617,0.962037,False,0.000019,0.000019
0.448985,1.000000,False,0.000019,0.000034
0.448957,0.992000,False,0.000019,0.000019
0.448986,1.000000,False,0.000019,0.000020
0.440935,0.989950,False,0.000019,0.000022
0.447443,0.978447,False,0.000019,0.000023
0.446170,0.997143,False,0.000019,0.000020
0.444062,0.964628,False,0.000019,0.000016
0.448986,1.000000,False,0.000019,0.000011
0.449517,0.997143,False,0.000019,0.000021
0.448981,1.000000,False,0.000019,0.000021
0.448986,1.000000,False,0.000019,0.000021
0.448984,0.997147,False,0.000019,0.000024
0.448994,0.993360,False,0.000019,0.000024
0.448981,1.000000,False,0.000019,0.000020
0.448782,0.987377,False,0.000019,0.000020
0.447361,0.997147,False,0.000019,0.000010
0.448985,1.000000,False,0.000019,0.000018
0.448991,0.997143,False,0.000019,0.000022
0.445805,0.947014,False,0.000019,0.000095
0.287664,0.967193,False,0.000019,0.000023
0.434083,0.962996,False,0.000019,0.000086
0.448234,0.960638,False,0.000019,0.000073
0.297273,0.975700,False,0.000019,0.000092
0.448959,0.991328,False,0.000019,0.000098
0.448980,1.000000,False,0.000019,0.000037
0.393220,0.993360,False,0.000019,0.000091
0.435148,0.966433,False,0.000019,0.000010
0.446989,0.982051,False,0.000019,0.000119
0.347663,0.969814,False,0.000019,0.000109
0.448893,0.970133,False,0.000019,0.000060
0.279904,0.975733,False,0.000019,0.000117
0.439298,0.977841,False,0.000019,0.000116
0.422251,0.990515,False,0.000019,0.000028
0.278837,0.969241,False,0.000019,0.000182
0.448956,0.988649,False,0.000019,0.000095
0.446985,0.917819,False,0.000019,0.000248
0.341414,0.932359,False,0.000019,0.000140
0.444662,0.943442,False,0.000019,0.000171
