genome_i,genome_j,phylogroup_i,phylogroup_j,distance
A_1,A_2,A,A,0.017007
A_1,A_3,A,A,0.028110
A_1,A_4,A,A,0.022667
A_1,A_5,A,A,0.025119
A_1,A_6,A,A,0.016628
A_1,A_7,A,A,0.024929
A_1,A_8,A,A,0.021540
A_1,A_9,A,A,0.025675
A_1,A_10,A,A,0.026431
A_1,B1_1,A,B1,0.209700
A_1,B1_2,A,B1,0.180894
A_1,B1_3,A,B1,0.181834
A_1,B1_4,A,B1,0.223268
A_1,B1_5,A,B1,0.165280
A_1,B1_6,A,B1,0.193981
A_1,B1_7,A,B1,0.197288
A_1,B1_8,A,B1,0.193835
A_1,B1_9,A,B1,0.073510
A_1,B1_10,A,B1,0.210028
A_1,B2-1_1,A,B2-1,0.252314
A_1,B2-1_2,A,B2-1,0.126489
A_1,B2-1_3,A,B2-1,0.276189
A_1,B2-1_4,A,B2-1,0.179429
A_1,B2-1_5,A,B2-1,0.204880
A_1,B2-1_6,A,B2-1,0.239864
A_1,B2-1_7,A,B2-1,0.267256
A_1,B2-1_8,A,B2-1,0.371545
A_1,B2-1_9,A,B2-1,0.223211
A_1,B2-1_10,A,B2-1,0.078548
A_1,B2-2_1,A,B2-2,0.184809
A_1,B2-2_2,A,B2-2,0.342269
A_1,B2-2_3,A,B2-2,0.182375
A_1,B2-2_4,A,B2-2,0.244121
A_1,B2-2_5,A,B2-2,0.232590
A_1,B2-2_6,A,B2-2,0.191638
A_1,B2-2_7,A,B2-2,0.185587
A_1,B2-2_8,A,B2-2,0.274796
A_1,B2-2_9,A,B2-2,0.196767
A_1,B2-2_10,A,B2-2,0.178753
A_1,C_1,A,C,0.218969
A_1,C_2,A,C,0.113740
A_1,C_3,A,C,0.194290
A_1,C_4,A,C,0.217391
A_1,C_5,A,C,0.209891
A_1,C_6,A,C,0.164248
A_1,C_7,A,C,0.209727
A_1,C_8,A,C,0.127256
A_1,C_9,A,C,0.084702
A_1,C_10,A,C,0.148815
A_1,D1_1,A,D1,0.238200
A_1,D1_2,A,D1,0.244884
A_1,D1_3,A,D1,0.219646
A_1,D1_4,A,D1,0.318653
A_1,D1_5,A,D1,0.257858
A_1,D1_6,A,D1,0.109455
A_1,D1_7,A,D1,0.157138
A_1,D1_8,A,D1,0.248016
A_1,D1_9,A,D1,0.252947
A_1,D1_10,A,D1,0.115126
A_1,D2_1,A,D2,0.328774
A_1,D2_2,A,D2,0.317172
A_1,D2_3,A,D2,0.308596
A_1,D2_4,A,D2,0.385058
A_1,D2_5,A,D2,0.358699
A_1,D2_6,A,D2,0.229458
A_1,D2_7,A,D2,0.253410
A_1,D2_8,A,D2,0.420460
A_1,D2_9,A,D2,0.348815
A_1,D2_10,A,D2,0.357980
A_1,D3_1,A,D3,0.347570
A_1,D3_2,A,D3,0.307617
A_1,D3_3,A,D3,0.282022
A_1,D3_4,A,D3,0.260272
A_1,D3_5,A,D3,0.240945
A_1,D3_6,A,D3,0.249240
A_1,D3_7,A,D3,0.312053
A_1,D3_8,A,D3,0.263449
A_1,D3_9,A,D3,0.305909
A_1,D3_10,A,D3,0.340804
A_1,D4_1,A,D4,0.342168
A_1,D4_2,A,D4,0.403484
A_1,D4_3,A,D4,0.250000
A_1,D4_4,A,D4,0.394806
A_1,D4_5,A,D4,0.341689
A_1,D4_6,A,D4,0.290168
A_1,D4_7,A,D4,0.310289
A_1,D4_8,A,D4,0.492513
A_1,D4_9,A,D4,0.374531
A_1,D4_10,A,D4,0.248733
A_1,E1_1,A,E1,0.223743
A_1,E1_2,A,E1,0.100549
A_1,E1_3,A,E1,0.082501
A_1,E1_4,A,E1,0.229103
A_1,E1_5,A,E1,0.132543
A_1,E1_6,A,E1,0.134280
A_1,E1_7,A,E1,0.114426
A_1,E1_8,A,E1,0.138296
A_1,E1_9,A,E1,0.208751
A_1,E1_10,A,E1,0.226425
A_1,E2_1,A,E2,0.221576
A_1,E2_2,A,E2,0.198785
A_1,E2_3,A,E2,0.269359
A_1,E2_4,A,E2,0.254214
A_1,E2_5,A,E2,0.206396
A_1,E2_6,A,E2,0.291467
A_1,E2_7,A,E2,0.205283
A_1,E2_8,A,E2,0.111131
A_1,E2_9,A,E2,0.241834
A_1,E2_10,A,E2,0.347674
A_1,F1_1,A,F1,0.160142
A_1,F1_2,A,F1,0.155077
A_1,F1_3,A,F1,0.175840
A_1,F1_4,A,F1,0.183456
A_1,F1_5,A,F1,0.216472
A_1,F1_6,A,F1,0.183473
A_1,F1_7,A,F1,0.134124
A_1,F1_8,A,F1,0.180814
A_1,F1_9,A,F1,0.078206
A_1,F1_10,A,F1,0.208362
A_1,F2_1,A,F2,0.111030
A_1,F2_2,A,F2,0.095745
A_1,F2_3,A,F2,0.213363
A_1,F2_4,A,F2,0.162684
A_1,F2_5,A,F2,0.197467
A_1,F2_6,A,F2,0.114421
A_1,F2_7,A,F2,0.186047
A_1,F2_8,A,F2,0.138605
A_1,F2_9,A,F2,0.175352
A_1,F2_10,A,F2,0.097816
A_1,G_1,A,G,0.027963
A_1,G_2,A,G,0.026616
A_1,G_3,A,G,0.027191
A_1,G_4,A,G,0.024743
A_1,G_5,A,G,0.022675
A_1,G_6,A,G,0.025290
A_1,G_7,A,G,0.029618
A_1,G_8,A,G,0.024376
A_1,G_9,A,G,0.024752
A_1,G_10,A,G,0.025124
A_2,A_3,A,A,0.022667
A_2,A_4,A,A,0.017571
A_2,A_5,A,A,0.020412
A_2,A_6,A,A,0.011118
A_2,A_7,A,A,0.019466
