accession	contig_count
GB_GCA_000016605.1	1
GB_GCA_000200715.1	6
GB_GCA_000247545.1	2
GB_GCA_000306725.1	1
GB_GCA_000375685.1	176
GB_GCA_000387965.1	7
GB_GCA_000402775.1	61
GB_GCA_000402965.1	58
GB_GCA_000806015.1	21
GB_GCA_000815265.1	215
GB_GCA_000830295.1	1
GB_GCA_001316345.1	431
GB_GCA_001509005.1	219
GB_GCA_001564115.1	192
GB_GCA_001593855.1	79
GB_GCA_001595945.1	94
GB_GCA_001603225.1	305
GB_GCA_001683555.1	58
GB_GCA_001775955.1	482
GB_GCA_001872145.1	58
GB_GCA_001940655.1	1904
GB_GCA_002009975.1	44
GB_GCA_002011075.1	4
GB_GCA_002204655.1	3
GB_GCA_002254895.1	86
GB_GCA_002317795.1	37
GB_GCA_002494905.1	206
GB_GCA_002494965.1	63
GB_GCA_002495185.1	113
GB_GCA_002496065.1	415
GB_GCA_002496245.1	293
GB_GCA_002496255.1	388
GB_GCA_002496385.1	80
GB_GCA_002496485.1	226
GB_GCA_002496725.1	114
GB_GCA_002496995.1	214
GB_GCA_002498285.1	572
GB_GCA_002498625.1	114
GB_GCA_002499025.1	160
GB_GCA_002499195.1	93
GB_GCA_002499265.1	99
GB_GCA_002501765.1	198
GB_GCA_002502215.1	186
GB_GCA_002502415.1	281
GB_GCA_002502445.1	311
GB_GCA_002502565.1	73
GB_GCA_002502605.1	181
GB_GCA_002503125.1	82
GB_GCA_002503585.1	78
GB_GCA_002504595.1	290
GB_GCA_002504695.1	188
GB_GCA_002504755.1	141
GB_GCA_002504925.1	63
GB_GCA_002505245.1	49
GB_GCA_002505325.1	203
GB_GCA_002505805.1	447
GB_GCA_002505945.1	268
GB_GCA_002506095.1	52
GB_GCA_002506915.1	68
GB_GCA_002508335.1	281
GB_GCA_002508435.1	287
GB_GCA_002508475.1	97
GB_GCA_002508885.1	227
GB_GCA_002508925.1	133
GB_GCA_002509015.1	225
GB_GCA_002509335.1	442
GB_GCA_002509655.1	98
GB_GCA_002694585.1	94
GB_GCA_002695145.1	98
GB_GCA_002701965.1	83
GB_GCA_002710205.1	59
GB_GCA_002714605.1	19
GB_GCA_002716785.1	42
GB_GCA_002718695.1	28
GB_GCA_002719395.1	29
GB_GCA_002719815.1	34
GB_GCA_002728035.1	115
GB_GCA_002728275.1	76
GB_GCA_002731115.1	15
GB_GCA_002762785.1	8
GB_GCA_002762985.1	45
GB_GCA_002763265.1	21
GB_GCA_002782805.1	105
GB_GCA_002785105.1	147
GB_GCA_002792635.1	29
GB_GCA_002794135.1	280
GB_GCA_002825515.1	235
GB_GCA_002855745.1	33
GB_GCA_003020965.1	39
GB_GCA_003023405.1	112
GB_GCA_003158115.1	123
GB_GCA_003161875.1	152
GB_GCA_003163595.1	242
GB_GCA_003266065.1	462
GB_GCA_003266105.1	278
GB_GCA_003266165.1	448
GB_GCA_003315655.1	70
